Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
1,0.0,0.0,0.0,48.0,1.0,48.0,48.0,0.0,209.0730000000002,0.0,0.0,0.005307912826538086,,,,,,,,,,,,,,,,,,,,,89.11703374386225,49.45469697462118,169.67332292923794,4.002000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.0,0.0,0.0,117.0,2.0,69.0,117.0,0.0,324.0840000000003,0.0,0.0,6.662709712982178,,,,,,,,,,,,,,,,,,,,,130.4767338295683,71.05695391136423,238.80731931190476,4.002000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.0,0.0,0.0,142.0,3.0,25.0,142.0,0.0,114.02999999999999,0.0,0.0,9.379974842071533,,,,,,,,,,,,,,,,,,,,,55.048640068746074,31.037082887600754,102.30368328008723,4.002000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.0,0.0,0.0,171.0,4.0,29.0,171.0,0.0,130.03799999999998,0.0,0.0,12.62410306930542,,,,,,,,,,,,,,,,,,,,,60.78269826190755,34.55977330371048,114.69341649224243,4.002000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.0,0.0,0.0,205.0,5.0,34.0,205.0,0.0,155.0430000000001,0.0,0.0,16.113851308822632,,,,,,,,,,,,,,,,,,,,,70.93856277294839,40.19361639901237,133.5821739181691,4.002000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.0,0.0,0.0,234.0,6.0,29.0,234.0,0.0,133.03500000000003,0.0,0.0,19.226238250732422,,,,,,,,,,,,,,,,,,,,,62.7487805723828,35.4141315040273,117.16952722580245,4.002000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.0,0.0,0.0,314.0,7.0,80.0,314.0,0.0,384.08999999999986,0.0,0.0,26.789503812789917,,,,,,,,,,,,,,,,,,,,,150.85521792606883,79.44325145139085,268.7540308735281,4.002000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.0,0.0,0.0,348.0,8.0,34.0,348.0,0.0,158.0400000000001,0.0,0.0,30.262025117874146,,,,,,,,,,,,,,,,,,,,,72.96533626608999,40.91054200018418,135.93693058823527,4.002000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.0,0.0,0.0,398.0,9.0,50.0,398.0,0.0,226.06800000000024,0.0,0.0,35.452568769454956,,,,,,,,,,,,,,,,,,,,,96.09543869989467,53.921220116005216,181.6348134374581,4.002000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.0,0.0,0.0,480.0,10.0,82.0,480.0,0.0,384.1019999999998,0.0,0.0,43.30017924308777,,,,,,,,,,,,,,,,,,,,,149.94986925993942,76.52442131347559,266.4453700712678,4.002000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0.0,0.0,0.0,511.0,11.0,31.0,511.0,0.0,140.04000000000002,0.0,0.0,46.604217290878296,,,,,,,,,,,,,,,,,,,,,64.87747208156038,36.85411265942191,122.36300750404682,4.002000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0.0,0.0,0.0,535.0,12.0,24.0,535.0,0.0,106.03199999999995,0.0,0.0,49.24047827720642,,,,,,,,,,,,,,,,,,,,,50.95303901631923,28.93267143915523,95.70785699018813,4.002000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0.0,0.0,0.0,561.0,13.0,26.0,561.0,0.0,117.03299999999997,0.0,0.0,52.19361209869385,,,,,,,,,,,,,,,,,,,,,55.80303770340783,31.670502391660467,104.60586694940717,4.002000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0.0,0.0,0.0,598.0,14.0,37.0,598.0,0.0,167.04900000000012,0.0,0.0,55.95623421669006,,,,,,,,,,,,,,,,,,,,,75.03700737062631,42.55069057316722,142.11336320055938,4.002000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,0.0,0.0,0.0,647.0,15.0,49.0,647.0,0.0,179.88499999999993,0.0,0.0,60.80536890029907,,,,,,,,,,,,,,,,,,,,,67.60113471142296,47.973017107439475,149.74027547332184,2.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,0.0,0.0,0.0,693.0,16.0,46.0,693.0,0.0,218.05200000000016,0.0,0.0,65.3809027671814,,,,,,,,,,,,,,,,,,,,,96.23724286210741,52.900717028689016,177.31136443570108,4.002000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,0.0,0.0,0.0,717.0,17.0,24.0,717.0,0.0,108.02999999999997,0.0,0.0,67.99799680709839,,,,,,,,,,,,,,,,,,,,,52.22509500167621,29.57956131716822,97.434932353431,4.002000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,0.0,0.0,0.0,746.0,18.0,29.0,746.0,0.0,133.03500000000003,0.0,0.0,71.23449230194092,,,,,,,,,,,,,,,,,,,,,62.7487805723828,35.4141315040273,117.16952722580245,4.002000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,0.0,0.0,0.0,774.0,19.0,28.0,774.0,0.0,127.03499999999998,0.0,0.0,74.22353291511536,,,,,,,,,,,,,,,,,,,,,59.989557810030725,34.01046557043164,112.47620019711397,4.002000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0.0,0.0,0.0,800.0,20.0,26.0,800.0,0.0,125.02500000000005,0.0,0.0,77.02757096290588,,,,,,,,,,,,,,,,,,,,,62.0176209422561,32.69302549444096,111.1115381644867,5.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,1.0,0.0,0.0,114.0,1.0,114.0,914.0,0.0,558.1199999999985,0.0,0.0,157.54246854782104,,,,,,,,,,,,,,,,,,,,,199.7370927691381,97.89771105813709,337.1285728427531,4.002000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,1.0,0.0,0.0,193.0,2.0,79.0,993.0,0.0,384.0839999999997,0.0,0.0,165.54287219047546,,,,,,,,,,,,,,,,,,,,,152.55854474005986,78.81694835524696,268.91414106249636,4.002000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,1.0,0.0,0.0,242.0,3.0,49.0,1042.0,0.0,225.06300000000022,0.0,0.0,170.5247519016266,,,,,,,,,,,,,,,,,,,,,96.55682203856972,54.14390969391359,181.3592053883286,4.002000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,1.0,0.0,0.0,295.0,4.0,53.0,1095.0,0.0,251.0610000000002,0.0,0.0,175.9881386756897,,,,,,,,,,,,,,,,,,,,,107.6428660148081,58.99902094032944,197.9494755761164,4.002000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,1.0,0.0,0.0,315.0,5.0,20.0,1115.0,0.0,90.02399999999997,0.0,0.0,178.3232707977295,,,,,,,,,,,,,,,,,,,,,44.94857097262876,25.24170745259192,82.67961004537726,4.002000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,1.0,0.0,0.0,348.0,6.0,33.0,1148.0,0.0,153.0390000000001,0.0,0.0,181.85068321228027,,,,,,,,,,,,,,,,,,,,,70.9467536898396,39.8365983461797,132.25851574569222,4.002000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,1.0,0.0,0.0,469.0,7.0,121.0,1269.0,0.0,522.1980000000007,0.0,0.0,193.70197939872742,,,,,,,,,,,,,,,,,,,,,176.59062991954949,88.05879016634128,314.78761126144764,4.002000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,1.0,0.0,0.0,516.0,8.0,47.0,1316.0,0.0,223.05300000000017,0.0,0.0,198.49978017807007,,,,,,,,,,,,,,,,,,,,,98.09889425405045,53.830176192615,180.53925079134405,4.002000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,1.0,0.0,0.0,561.0,9.0,45.0,1361.0,0.0,211.05300000000017,0.0,0.0,203.04214215278625,,,,,,,,,,,,,,,,,,,,,92.96971307967678,51.670579686581256,172.65241211523875,4.002000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,1.0,0.0,0.0,599.0,10.0,38.0,1399.0,0.0,177.04500000000013,0.0,0.0,207.0872139930725,,,,,,,,,,,,,,,,,,,,,80.21279490105191,44.9080288911341,149.53998361146847,4.002000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,1.0,0.0,0.0,639.0,11.0,40.0,1439.0,0.0,185.04900000000015,0.0,0.0,211.3046054840088,,,,,,,,,,,,,,,,,,,,,82.75842357566151,46.529533056356605,155.0307423423481,4.002000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,1.0,0.0,0.0,664.0,12.0,25.0,1464.0,0.0,110.03399999999995,0.0,0.0,214.2861819267273,,,,,,,,,,,,,,,,,,,,,52.47155313440492,29.797888767596824,98.88390135333005,4.002000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
