Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
1,0.0,0.0,0.0,29.0,1.0,29.0,29.0,0.0,134.03400000000002,0.0,0.0,0.005610227584838867,,,,,,,,,,,,,,,,,,,,,63.45974378148621,35.63446203615502,117.97844536615548,4.002000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.0,0.0,0.0,45.0,2.0,16.0,45.0,0.0,75.015,0.0,0.0,2.0762650966644287,,,,,,,,,,,,,,,,,,,,,40.14300632063646,20.823148592955025,69.98481684389161,5.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.0,0.0,0.0,68.0,3.0,23.0,68.0,0.0,103.02899999999997,0.0,0.0,4.830502271652222,,,,,,,,,,,,,,,,,,,,,50.08437813088401,28.368270833051348,93.36760843780908,4.002000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.0,0.0,0.0,96.0,4.0,28.0,96.0,0.0,129.03300000000002,0.0,0.0,8.169698476791382,,,,,,,,,,,,,,,,,,,,,61.37617531252163,34.50556389338045,114.11863168298535,4.002000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.0,0.0,0.0,121.0,5.0,25.0,121.0,0.0,114.02999999999999,0.0,0.0,11.282771348953247,,,,,,,,,,,,,,,,,,,,,55.048640068746074,31.037082887600754,102.30368328008723,4.002000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.0,0.0,0.0,157.0,6.0,36.0,157.0,0.0,167.04300000000012,0.0,0.0,15.547370672225952,,,,,,,,,,,,,,,,,,,,,76.26390663480971,42.82847324506498,142.42219529789662,4.002000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.0,0.0,0.0,183.0,7.0,26.0,183.0,0.0,118.03199999999998,0.0,0.0,18.58480453491211,,,,,,,,,,,,,,,,,,,,,56.4709513372088,31.95656288958065,105.44796719959771,4.002000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.0,0.0,0.0,220.0,8.0,37.0,220.0,0.0,172.04400000000012,0.0,0.0,22.789085865020752,,,,,,,,,,,,,,,,,,,,,78.24434114769238,43.874162851398026,145.99897334491766,4.002000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.0,0.0,0.0,248.0,9.0,28.0,248.0,0.0,127.03499999999998,0.0,0.0,25.833805322647095,,,,,,,,,,,,,,,,,,,,,59.989557810030725,34.01046557043164,112.47620019711397,4.002000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.0,0.0,0.0,291.0,10.0,43.0,291.0,0.0,197.05500000000018,0.0,0.0,30.4053373336792,,,,,,,,,,,,,,,,,,,,,86.59827856460147,48.80747318498336,163.06268770250114,4.002000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0.0,0.0,0.0,325.0,11.0,34.0,325.0,0.0,156.04200000000012,0.0,0.0,34.729496240615845,,,,,,,,,,,,,,,,,,,,,71.59137589636089,40.46091966805727,134.37499458752913,4.002000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0.0,0.0,0.0,354.0,12.0,29.0,354.0,0.0,133.03500000000003,0.0,0.0,37.86221504211426,,,,,,,,,,,,,,,,,,,,,62.7487805723828,35.4141315040273,117.16952722580245,4.002000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0.0,0.0,0.0,417.0,13.0,63.0,417.0,0.0,289.0830000000003,0.0,0.0,44.606173038482666,,,,,,,,,,,,,,,,,,,,,119.56003482691598,63.20540864418723,218.10037553213232,4.002000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0.0,0.0,0.0,446.0,14.0,29.0,446.0,0.0,130.03799999999998,0.0,0.0,47.788156032562256,,,,,,,,,,,,,,,,,,,,,60.78269826190755,34.55977330371048,114.69341649224243,4.002000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,0.0,0.0,0.0,480.0,15.0,34.0,480.0,0.0,159.0390000000001,0.0,0.0,51.60511827468872,,,,,,,,,,,,,,,,,,,,,73.68602871339462,41.087378790747685,136.70620369089463,4.002000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,0.0,0.0,0.0,521.0,16.0,41.0,521.0,0.0,192.04800000000014,0.0,0.0,55.87750434875488,,,,,,,,,,,,,,,,,,,,,86.04653043481557,47.94057599180704,159.95196665822428,4.002000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,0.0,0.0,0.0,545.0,17.0,24.0,545.0,0.0,107.03099999999996,0.0,0.0,58.86988353729248,,,,,,,,,,,,,,,,,,,,,51.57134604413682,29.271132920467476,96.57573405714435,4.002000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,0.0,0.0,0.0,598.0,18.0,53.0,598.0,0.0,243.06900000000024,0.0,0.0,64.43288040161133,,,,,,,,,,,,,,,,,,,,,102.6033068082801,57.35247913044642,192.52040341966284,4.002000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,0.0,0.0,0.0,700.0,19.0,102.0,700.0,0.0,493.1129999999994,0.0,0.0,74.62106776237488,,,,,,,,,,,,,,,,,,,,,181.4987694851267,92.36057480003417,314.2375830274161,4.002000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0.0,0.0,0.0,842.0,20.0,142.0,842.0,0.0,676.1699999999985,0.0,0.0,88.41276121139526,,,,,,,,,,,,,,,,,,,,,223.48097691471673,103.63558608550854,366.1126546077972,4.002000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,1.0,0.0,0.0,44.0,1.0,44.0,886.0,0.0,197.0610000000002,0.0,0.0,172.6095118522644,,,,,,,,,,,,,,,,,,,,,85.61922428644756,48.26689929979226,162.6247743229906,4.002000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
